Gas,Brake,Fuel,Gear,Rpms,SteerAngle,SpeedKmh,Velocity,AccG,WheelSlip,WheelLoad,WheelsPressure,WheelAngularSpeed,TyreWear,TyreDirtyLevel,TyreCoreTemperature,CamberRad,SuspensionTravel,DRS,TC,Heading,Pitch,Roll,CgHeight,CarDamage,NumberOfTyresOut,PitLimiterOn,Abs,Status,Session,CurrentTime,LastTime,BestTime,Split,CompletedLaps,Position,CurrentTimeValue,LastTimeValue,BestTimeValue,SessionTimeLeft,DistanceTraveled,IsInPit,CurrentSectorIndex,LastSectorTime,NumberOfLaps,TyreCompound,ReplayTimeMultiplier,NormalizedCarPosition,CarCoordinates,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4206811,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4207038,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4903,0,63.80122,-6.259403:0.02053802:-16.58037:,-0.4456264:0.03372822:-0.1568394:,0.0717177:0.06674467:0.175665:0.1186956:,3040.801:1614.143:3572.311:1888.208:,37.67043:33.77544:32.86337:32.15092:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46693:99.44212:100:100:,0:0:0:0:,98.94019:74.59653:68.89609:64.44324:,0.01365453:0.02384649:-0.02186159:0.05257061:,0.1606368:0.1303437:0.1583086:0.12852:,0,0.11,2.7982,-0.009743283,0.0227045,0.4067335,0:0:0:0:0:,0,0,0.13,2,0,1:20:972,1:53:296,1:53:296,52.6,1,1,80972,113296,113296,-4207231,4657.262,0,1,52688,5,Street,1,0.8585845,17.9332:5.399176:197.4083:,
0.352,0,30,3,4986,0,62.99902,-5.873292:0.001913767:-16.48469:,-0.01622761:-0.01175463:0.07982562:,0.007267431:0.005308792:0.05990892:0.05709039:,2158.96:2072:2765.664:2903.071:,37.63792:33.75496:32.85116:32.13781:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46691:99.44209:100:100:,0:0:0:0:,98.73699:74.46848:68.81977:64.36134:,-0.000345267:0.009043126:-0.03184275:0.03943864:,0.1486068:0.139991:0.143591:0.135059:,0,0.11,2.798301,-0.01062107,0.004648493,0.4096899,0:0:0:0:0:,0,0,0.13,2,0,1:21:164,1:53:296,1:53:296,52.6,1,1,81164,113296,113296,-4207424,4660.636,0,1,52688,5,Street,1,0.8599385,16.78145:5.401668:194.2366:,
0,0,30,3,4902,0,64.28421,-6.00202:0.006041134:-16.8178:,0.009011203:-0.0316342:-0.1048503:,0.008964325:0.002816649:0.06220192:0.06839675:,1682.805:1830.815:3203.272:3051.131:,37.60363:33.73369:32.8364:32.12535:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.4669:99.44209:100:100:,0:0:0:0:,98.5227:74.33556:68.72749:64.28343:,0.0009765625:-0.003890964:-0.03820077:0.03856425:,0.1299388:0.1301268:0.1454081:0.1477591:,0,0.11,2.798156,-0.001381072,-0.002186082,0.4113703,0:0:0:0:0:,0,0,0.13,2,0,1:21:352,1:53:296,1:53:296,52.6,1,1,81352,113296,113296,-4207614,4663.955,0,1,52688,5,Street,1,0.861252,15.6686:5.40293:191.1138:,
0,0.7973011,30,3,4494,0,60.84216,-5.690892:-0.04995528:-15.91357:,0.004559055:-0.0002292637:-0.7273505:,0.2357456:0.222293:0.2015361:0.2320765:,2890.032:2854.845:2218.269:2092.758:,37.57206:33.71581:32.82162:32.11342:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46677:99.44195:100:100:,0:0:0:0:,98.32539:74.22378:68.63516:64.2089:,-0.005694297:0.005132768:-0.02966794:0.02981026:,0.1550956:0.1556998:0.1335593:0.1342984:,0,0.11,2.79807,-0.02107355,-0.001034868,0.4084711,0:0:0:0:0:,0,0,0.13,2,0,1:21:576,1:53:296,1:53:296,52.6,1,1,81576,113296,113296,-4207838,4667.879,0,1,52688,5,Street,1,0.8628387,14.34616:5.397746:187.411:,
0,0.7278338,30,3,4047,-0.1092606,54.94916,-5.243693:0.05524878:-14.33457:,0.2335697:-0.03827503:-0.6457307:,0.235192:0.2220297:0.2722695:0.2909109:,2519.967:2911.314:2047.889:2348.092:,37.5519:33.70987:32.80745:32.10222:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46658:99.44176:100:100:,0:0:0:0:,98.19938:74.18671:68.54659:64.1389:,-0.01535192:0.01312478:-0.02485027:0.02258844:,0.1723433:0.1746922:0.1232043:0.1252988:,0,0.11,2.795351,-0.02979339,-0.001403338,0.406776,0:0:0:0:0:,0,0,0.13,2,0,1:21:768,1:53:296,1:53:296,52.6,1,1,81768,113296,113296,-4208030,4670.96,0,1,52688,5,Street,1,0.8641242,13.30492:5.396626:184.5062:,
1,0.6512317,30,1,5116,0,50.6951,-5.292568:0.009146035:-13.04954:,0.1485007:-0.02123477:-0.7104106:,0.2632464:0.3412274:0.1894203:0.2184754:,2320.277:2467.209:2385.991:2879.447:,37.53247:33.70724:32.79238:32.09088:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46639:99.44159:100:100:,0:0:0:0:,98.07792:74.17029:68.45237:64.06801:,-0.01633755:0.000345267:-0.03590804:0.02028019:,0.1520109:0.1669444:0.1200676:0.1361783:,0,0.11,2.743273,-0.02283614,-0.01000411,0.4100494,0:0:0:0:0:,0,0,0.13,2,0,1:21:960,1:53:296,1:53:296,52.6,1,1,81960,113296,113296,-4208222,4673.78,0,1,52688,5,Street,1,0.8653229,12.29501:5.403798:181.8771:,
0,0.7959666,30,2,5220,0,44.18387,-4.841602:-0.009054039:-11.27797:,0.08266139:-0.02554562:-0.9558734:,0.559661:0.4947799:0.1645132:0.1981158:,2813.282:3172.615:2037.086:2031.335:,37.51099:33.7014:32.77619:32.07892:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46612:99.44135:100:100:,0:0:0:0:,97.9437:74.13377:68.3512:63.99324:,-0.01671625:0.007485227:-0.0284326:0.01996321:,0.1663346:0.1735762:0.1160939:0.1247076:,0,0.11,2.733521,-0.032609,-0.005466603,0.4105229,0:0:0:0:0:,0,0,0.13,2,0,1:22:156,1:53:296,1:53:296,52.6,1,1,82156,113296,113296,-4208416,4676.394,0,1,52688,5,Street,1,0.8664511,11.2897:5.404446:179.4605:,
0,0,30,2,4697,0,39.50434,-4.335618:-0.02136805:-10.08058:,-0.08264524:-0.05470638:-0.04395305:,0.1880022:0.2425866:0.104859:0.07707052:,2241.269:2214.511:2566.256:2389.185:,37.49249:33.69611:32.75857:32.06428:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46596:99.44111:100:100:,0:0:0:0:,97.82803:74.10069:68.24107:63.90176:,-0.01057447:0.01244407:-0.02297309:0.02464311:,0.1671663:0.1654678:0.1218677:0.12104:,0,0.11,2.741518,-0.02913841,0.001810817,0.4117517,0:0:0:0:0:,0,0,0.13,2,0,1:22:352,1:53:296,1:53:296,52.6,1,1,82352,113296,113296,-4208614,4678.665,0,1,52688,5,Street,1,0.8674331,10.38869:5.405071:177.376:,
